Date,Forecast_ARIMA,Forecast_ETS
2020-01-01,761.4311592356785,763.7753868799421
2020-01-02,760.0589550993241,763.8724877004
2020-01-03,760.1546226538894,760.9478537305175
2020-01-04,760.1479468978854,764.8763782720088
2020-01-05,760.1484127081353,766.0648838731397
2020-01-06,760.1483802054288,766.2945031127908
2020-01-07,760.1483824733602,771.642144942196
2020-01-08,760.1483823151118,772.8346499071407
2020-01-09,760.1483823261538,772.9317507275988
2020-01-10,760.1483823253834,770.0071167577162
2020-01-11,760.1483823254375,773.9356412992074
2020-01-12,760.1483823254334,775.1241469003384
2020-01-13,760.1483823254334,775.3537661399896
2020-01-14,760.1483823254334,780.7014079693946
2020-01-15,760.1483823254334,781.8939129343394
2020-01-16,760.1483823254334,781.9910137547975
2020-01-17,760.1483823254334,779.0663797849148
2020-01-18,760.1483823254334,782.9949043264061
2020-01-19,760.1483823254334,784.183409927537
2020-01-20,760.1483823254334,784.4130291671883
2020-01-21,760.1483823254334,789.7606709965933
2020-01-22,760.1483823254334,790.953175961538
2020-01-23,760.1483823254334,791.0502767819961
2020-01-24,760.1483823254334,788.1256428121136
2020-01-25,760.1483823254334,792.0541673536047
2020-01-26,760.1483823254334,793.2426729547357
2020-01-27,760.1483823254334,793.4722921943869
2020-01-28,760.1483823254334,798.819934023792
2020-01-29,760.1483823254334,800.0124389887367
2020-01-30,760.1483823254334,800.1095398091948
